,Date,R000,R001,R002,R003,R004,R005,Totale complessivo
461,20190407,47832.7514,54125.8389,,17120.1303,35409.4636,28631.9271,183120.1113
462,20190408,15657.6147,30488.9403,,14828.4346,19892.6819,17734.3439,98602.0154
463,20190409,17590.4134,34339.298,,15326.8017,22890.112,20056.6842,110203.3093
464,20190410,15746.9879,34212.9613,,15702.0948,21446.7183,21038.0548,108146.8171
465,20190411,19755.442,39443.7715,,16374.7479,28165.1958,23382.6558,127121.813
466,20190412,31663.058,52061.8714,,18127.1069,37419.8237,31939.768,171211.628
467,20190413,47704.5149,69265.7994,,20535.0208,44710.3062,37408.0119,219623.6532
468,20190414,49053.0012,53336.7611,,15859.6956,35872.8083,26097.0157,180219.2819
469,20190415,17858.3678,35287.5873,,17106.0057,21814.3709,22089.5941,114155.9258
470,20190416,18450.0316,34006.5439,,15886.0037,26990.6651,20951.2835,116284.5278
471,20190417,25177.6777,41848.3814,,21955.2865,30482.291,28212.443,147676.0796
472,20190418,31712.2876,48814.8241,,19048.386,33588.2162,29078.2562,162241.9701
473,20190419,30804.0593,52525.3813,,17784.3582,38761.7433,25069.7608,164945.3029
474,20190420,48318.0264,57119.8411,,22595.643,42544.4516,26407.3852,196985.3473
475,20190421,11512.5815,26861.107,,0.0,19166.2975,11271.183,68811.169
476,20190422,27703.0488,46318.5282,,0.0,32098.8969,19455.5214,125575.9953
477,20190423,32018.9401,44204.216,,16337.4953,26110.1904,19650.4574,138321.2992
478,20190424,35400.0059,47320.0945,,15631.4718,32909.6572,23947.4333,155208.6627
479,20190425,46688.2045,51436.1764,,14226.5697,33267.5217,23049.3235,168667.7958
480,20190426,40188.4105,49932.526,,15557.5035,32932.1244,24894.6075,163505.1719
481,20190427,45953.0232,61726.8561,,19657.974,39924.2144,26548.4247,193810.4924
482,20190428,34191.1136,48323.1476,,15398.0855,34299.4435,19694.0702,151905.8604
483,20190429,20027.0308,30739.0118,,14213.9319,23427.012,19568.353,107975.3395
484,20190430,29059.6712,44643.4828,,17561.6273,31904.6217,25827.4093,148996.8123
485,20190501,29939.3612,48727.5985,,14974.967,29625.7703,21895.0298,145162.7268
486,20190502,15014.202,32996.6763,,14532.8505,23680.4701,20307.2926,106531.4915
487,20190503,31372.0169,51366.462,,16510.5423,30060.5767,28437.1563,157746.7542
488,20190504,40843.5524,63926.8658,,18108.398,45424.8788,31805.13,200108.825
489,20190505,47083.9411,45003.1645,,15312.2641,34812.5134,23420.4453,165632.3284
490,20190506,16516.5721,35527.5816,,13563.7047,23346.3531,19923.7808,108877.9923
491,20190507,16894.178,34966.4385,,12742.702,22916.5853,19987.0111,107506.9149
492,20190508,19005.6818,35552.7746,,13611.1171,25100.0337,23608.4842,116878.0914
493,20190509,19416.2451,36809.3684,,14797.9965,23641.1112,25122.1705,119786.8917
494,20190510,30782.2529,54778.0485,,16191.8302,37669.6061,30937.3757,170359.1134
495,20190511,45998.0815,63890.0262,,22480.829,45345.9958,27505.7174,205220.6499
496,20190512,39701.0292,48983.865,,20471.2949,37767.4458,21482.5667,168406.2016
497,20190513,18070.2368,32934.9328,,14859.1618,23630.9101,18339.2237,107834.4652
498,20190514,16174.5255,34004.2724,,13519.142,25243.7164,20914.6091,109856.2654
