,Date,R000,R001,R002,R003,R004,R005,Totale complessivo
1927,20230412,516.0,794,698.0,608,695,829.0,4140.0
1928,20230413,538.0,818,717.0,595,746,794.0,4208.0
1929,20230414,949.0,1153,1103.0,795,1052,1182.0,6234.0
1930,20230415,1083.0,1353,1086.0,788,1059,1054.0,6423.0
1931,20230416,826.0,1099,1032.0,567,941,894.0,5359.0
1932,20230417,451.0,752,770.0,661,715,794.0,4143.0
1933,20230418,497.0,766,800.0,660,745,886.0,4354.0
1934,20230419,494.0,835,797.0,692,714,938.0,4470.0
1935,20230420,558.0,936,857.0,736,793,886.0,4766.0
1936,20230421,752.0,1186,1161.0,955,1038,1335.0,6427.0
1937,20230422,984.0,1226,1328.0,962,1223,1130.0,6853.0
1938,20230423,954.0,968,1015.0,684,964,966.0,5551.0
1939,20230424,848.0,922,947.0,767,908,937.0,5329.0
1940,20230425,734.0,1021,833.0,655,868,843.0,4954.0
1941,20230426,396.0,720,699.0,790,661,841.0,4107.0
1942,20230427,509.0,781,856.0,739,767,902.0,4554.0
1943,20230428,728.0,1198,1132.0,739,1040,1325.0,6162.0
1944,20230429,1021.0,1220,1230.0,883,1138,1075.0,6567.0
1945,20230430,930.0,1016,1111.0,631,926,969.0,5583.0
1946,20230501,797.0,0,901.0,631,1006,912.0,4247.0
1947,20230502,509.0,806,744.0,765,692,847.0,4363.0
1948,20230503,593.0,869,0.0,813,783,909.0,3967.0
