Date,R000
20211030,797.0
20211031,768.0
20211101,569.0
20211102,407.0
20211103,441.0
20211104,400.0
20211105,521.0
20211106,863.0
20211107,722.0
20211108,382.0
20211109,408.0
20211110,465.0
20211111,634.0
20211112,558.0
20211113,901.0
20211114,690.0
20211115,423.0
20211116,402.0
20211117,387.0
20211118,443.0
20211119,674.0
20211120,844.0
20211121,670.0
20211122,344.0
20211123,390.0
20211124,404.0
20211125,420.0
20211126,653.0
20211127,873.0
20211128,699.0
20211129,443.0
20211130,392.0
20211201,525.0
20211202,442.0
20211203,646.0
20211204,826.0
20211205,674.0
20211206,445.0
20211207,568.0
20211208,284.0
20211209,482.0
20211210,462.0
20211211,837.0
20211212,673.0
20211213,462.0
20211214,495.0
20211215,687.0
20211216,620.0
20211217,732.0
20211218,1005.0
20211219,853.0
20211220,640.0
20211221,705.0
20211222,669.0
20211223,804.0
20211224,488.0
20211225,174.0
20211226,636.0
20211227,659.0
20211228,699.0
20211229,652.0
20211230,509.0
20211231,230.0
20220101,493.0
20220102,660.0
20220103,515.0
20220104,441.0
20220105,590.0
20220106,634.0
20220107,579.0
20220108,656.0
20220109,600.0
20220110,330.0
20220111,413.0
20220112,405.0
20220113,452.0
20220114,642.0
20220115,778.0
20220116,691.0
20220117,369.0
20220118,448.0
20220119,420.0
20220120,340.0
20220121,523.0
20220122,684.0
20220123,623.0
20220124,358.0
20220125,334.0
20220126,359.0
20220127,390.0
20220128,627.0
20220129,818.0
20220130,629.0
20220131,362.0
20220201,393.0
20220202,409.0
20220203,385.0
20220204,503.0
20220205,698.0
20220206,620.0
20220207,366.0
20220208,376.0
20220209,430.0
20220210,400.0
20220211,568.0
20220212,796.0
20220213,660.0
20220214,404.0
20220215,329.0
20220216,375.0
20220217,442.0
20220218,541.0
20220219,896.0
20220220,735.0
20220221,389.0
20220222,413.0
20220223,405.0
20220224,419.0
20220225,596.0
20220226,833.0
20220227,732.0
20220228,545.0
20220301,407.0
20220302,382.0
20220303,458.0
20220304,569.0
20220305,722.0
20220306,711.0
20220307,395.0
20220308,371.0
20220309,396.0
20220310,414.0
20220311,529.0
20220312,698.0
20220313,683.0
20220314,341.0
20220315,428.0
20220316,418.0
20220317,411.0
20220318,547.0
20220319,738.0
20220320,628.0
20220321,373.0
20220322,440.0
20220323,469.0
20220324,391.0
20220325,612.0
20220326,795.0
20220327,705.0
20220328,378.0
20220329,366.0
20220330,389.0
20220331,456.0
20220401,600.0
20220402,789.0
20220403,644.0
20220404,360.0
20220405,429.0
20220406,463.0
20220407,445.0
20220408,543.0
20220409,775.0
20220410,709.0
20220411,416.0
20220412,425.0
20220413,598.0
20220414,667.0
20220415,642.0
20220416,763.0
20220417,251.0
20220418,513.0
20220419,479.0
20220420,458.0
20220421,478.0
20220422,558.0
20220423,759.0
20220424,751.0
20220425,596.0
20220426,388.0
20220427,395.0
20220428,491.0
20220429,588.0
20220430,856.0
20220501,655.0
20220502,408.0
20220503,465.0
20220504,608.0
20220505,531.0
20220506,721.0
20220507,984.0
20220508,800.0
20220509,388.0
20220510,409.0
20220511,455.0
20220512,493.0
20220513,638.0
20220514,741.0
20220515,678.0
20220516,436.0
20220517,481.0
20220518,494.0
20220519,429.0
20220520,496.0
20220521,748.0
20220522,655.0
20220523,365.0
20220524,430.0
20220525,423.0
20220526,456.0
20220527,459.0
20220528,659.0
20220529,690.0
20220530,573.0
20220531,437.0
20220601,536.0
20220602,696.0
20220603,672.0
20220604,624.0
20220605,693.0
20220606,583.0
20220607,476.0
20220608,643.0
20220609,562.0
20220610,617.0
20220611,715.0
20220612,687.0
20220613,515.0
20220614,506.0
20220615,631.0
20220616,579.0
20220617,658.0
20220618,776.0
20220619,703.0
20220620,563.0
20220621,515.0
20220622,737.0
20220623,510.0
20220624,617.0
20220625,680.0
20220626,721.0
20220627,579.0
20220628,548.0
20220629,609.0
20220630,508.0
20220701,601.0
20220702,731.0
20220703,684.0
20220704,458.0
20220705,551.0
20220706,736.0
20220707,559.0
20220708,575.0
20220709,780.0
20220710,720.0
20220711,551.0
20220712,559.0
20220713,545.0
20220714,595.0
20220715,619.0
20220716,791.0
20220717,768.0
20220718,625.0
20220719,530.0
20220720,616.0
20220721,602.0
20220722,579.0
20220723,805.0
20220724,760.0
20220725,474.0
20220726,477.0
20220727,529.0
20220728,516.0
20220729,634.0
20220730,716.0
20220731,680.0
20220801,572.0
20220802,513.0
20220803,556.0
20220804,561.0
20220805,572.0
20220806,712.0
20220807,709.0
20220808,584.0
20220809,601.0
20220810,639.0
20220811,563.0
20220812,654.0
20220813,651.0
20220814,622.0
20220815,231.0
20220816,605.0
20220817,579.0
20220818,762.0
20220819,735.0
20220820,643.0
20220821,663.0
20220822,502.0
20220823,514.0
20220824,562.0
20220825,556.0
20220826,533.0
20220827,611.0
20220828,653.0
20220829,517.0
20220830,560.0
20220831,597.0
20220901,686.0
20220902,662.0
20220903,827.0
20220904,839.0
20220905,575.0
20220906,539.0
20220907,567.0
20220908,590.0
20220909,679.0
20220910,755.0
20220911,785.0
20220912,580.0
20220913,547.0
20220914,474.0
20220915,527.0
20220916,658.0
20220917,852.0
20220918,833.0
20220919,528.0
20220920,509.0
20220921,573.0
20220922,625.0
20220923,721.0
20220924,921.0
20220925,862.0
20220926,533.0
20220927,458.0
20220928,490.0
20220929,585.0
20220930,650.0
20221001,935.0
20221002,910.0
20221003,410.0
20221004,438.0
20221005,490.0
20221006,437.0
20221007,641.0
20221008,912.0
20221009,954.0
20221010,445.0
20221011,444.0
20221012,483.0
20221013,475.0
20221014,684.0
20221015,915.0
20221016,821.0
20221017,456.0
20221018,461.0
20221019,460.0
20221020,527.0
20221021,688.0
20221022,971.0
20221023,903.0
20221024,469.0
20221025,432.0
20221026,423.0
20221027,514.0
20221028,677.0
20221029,1002.0
20221030,987.0
20221031,960.0
20221101,756.0
20221102,407.0
20221103,445.0
20221104,635.0
20221105,888.0
20221106,639.0
20221107,472.0
20221108,464.0
20221109,509.0
20221110,486.0
20221111,720.0
20221112,986.0
20221113,900.0
20221114,449.0
20221115,531.0
20221116,464.0
20221117,428.0
20221118,722.0
20221119,1116.0
20221120,932.0
20221121,478.0
20221122,499.0
20221123,478.0
20221124,497.0
20221125,726.0
20221126,1033.0
20221127,901.0
20221128,453.0
20221129,499.0
20221130,452.0
20221201,672.0
20221202,766.0
20221203,1050.0
20221204,938.0
20221205,465.0
20221206,585.0
20221207,688.0
20221208,905.0
20221209,929.0
20221210,897.0
20221211,891.0
20221212,507.0
20221213,484.0
20221214,744.0
20221215,636.0
20221216,905.0
20221217,1164.0
20221218,1029.0
20221219,660.0
20221220,671.0
20221221,832.0
20221222,867.0
20221223,1073.0
20221224,720.0
20221225,321.0
20221226,956.0
20221227,903.0
20221228,869.0
20221229,794.0
20221230,894.0
20221231,345.0
20230101,656.0
20230102,789.0
20230103,690.0
20230104,668.0
20230105,820.0
20230106,929.0
20230107,954.0
20230108,731.0
20230109,438.0
20230110,419.0
20230111,520.0
20230112,539.0
20230113,705.0
20230114,1112.0
20230115,875.0
20230116,386.0
20230117,401.0
20230118,496.0
20230119,372.0
20230120,720.0
20230121,1089.0
20230122,924.0
20230123,438.0
20230124,488.0
20230125,435.0
20230126,473.0
20230127,704.0
20230128,1165.0
20230129,898.0
20230130,414.0
20230131,401.0
20230201,453.0
20230202,493.0
20230203,669.0
20230204,1170.0
20230205,818.0
20230206,435.0
20230207,450.0
20230208,450.0
20230209,503.0
20230210,686.0
20230211,991.0
20230212,805.0
20230213,466.0
20230214,595.0
20230215,588.0
20230216,463.0
20230217,689.0
20230218,1011.0
20230219,855.0
20230220,617.0
20230221,557.0
20230222,452.0
20230223,464.0
20230224,748.0
20230225,999.0
20230226,744.0
20230227,426.0
20230228,445.0
20230301,460.0
20230302,532.0
20230303,805.0
20230304,1072.0
20230305,925.0
20230306,434.0
20230307,441.0
20230308,624.0
20230309,494.0
20230310,799.0
20230311,1112.0
20230312,850.0
20230313,388.0
20230314,442.0
20230315,501.0
20230316,463.0
20230317,786.0
20230318,989.0
20230319,731.0
20230320,371.0
20230321,495.0
20230322,493.0
20230323,515.0
20230324,797.0
20230325,1006.0
20230326,937.0
20230327,485.0
20230328,486.0
20230329,544.0
20230330,560.0
20230331,717.0
20230401,1030.0
20230402,823.0
20230403,558.0
20230404,465.0
20230405,679.0
20230406,834.0
20230407,1051.0
20230408,993.0
20230409,347.0
20230410,687.0
20230411,638.0
20230412,516.0
20230413,538.0
20230414,949.0
20230415,1083.0
20230416,826.0
20230417,451.0
20230418,497.0
20230419,494.0
20230420,558.0
20230421,752.0
20230422,984.0
20230423,954.0
20230424,848.0
20230425,734.0
20230426,396.0
20230427,509.0
20230428,728.0
20230429,1021.0
20230430,930.0
20230501,797.0
20230502,509.0
20230503,593.0
